position	players	withId
C	Will Smith	Will Smith (669257)
1B	Paul Goldschmidt	Paul Goldschmidt (502671)
2B	Ozzie Albies	Ozzie Albies (645277)
3B	Eugenio Suarez	Eugenio Suarez (553993)
SS	Francisco Lindor	Francisco Lindor (596019)
MI	Wander Franco	Wander Franco (677551)
CI	Andrew Vaughn	Andrew Vaughn (683734)
OF	Andrew Benintendi	Andrew Benintendi (643217)
OF	George Springer	George Springer (543807)
OF	Joey Gallo	Joey Gallo (608336)
OF	Starling Marte	Starling Marte (516782)
DH	Anthony Rendon	Anthony Rendon (543685)
DH	Ketel Marte	Ketel Marte (606466)
DH	Shohei Ohtani	Shohei Ohtani (660271)
DH	Jurickson Profar	Jurickson Profar (595777)
BAT BENCH	Josh Donaldson	Josh Donaldson (518626)
SP	Jesus Luzardo	Jesus Luzardo (666200)
SP	Jordan Montgomery	Jordan Montgomery (656756)
SP	Shohei Ohtani	Shohei Ohtani (660271)
SP	Carlos Carrasco	Carlos Carrasco (471911)
SP	Jose Berrios	Jose Berrios (621244)
SP	Nestor Cortes	Nestor Cortes (641482)
RP	Clay Holmes	Clay Holmes (605280)
RP	Ryan Pressly	Ryan Pressly (519151)
OP	Michael Wacha	Michael Wacha (608379)
OP	Trevor May	Trevor May (543507)
OP	Domingo German	Domingo German (593334)
OP	Nick Pivetta	Nick Pivetta (601713)
PITCH BENCH	Michael Fulmer	Michael Fulmer (605242)
