position	players	withId
C	Adley Rutschman	Adley Rutschman (668939)
1B	Spencer Torkelson	Spencer Torkelson (679529)
2B	Jake Cronenworth	Jake Cronenworth (630105)
3B	Bobby Witt Jr.	Bobby Witt Jr. (677951)
SS	Carlos Correa	Carlos Correa (621043)
MI	Jordan Westburg	Jordan Westburg (676059)
CI	Ryan O'Hearn	Ryan O'Hearn (656811)
OF	Corbin Carroll	Corbin Carroll (682998)
OF	MJ Melendez	MJ Melendez (669004)
OF	TJ Friedl	TJ Friedl (670770)
OF	Max Kepler	Max Kepler (596146)
DH	CJ Abrams	CJ Abrams (682928)
DH	Elly De La Cruz	Elly De La Cruz (682829)
DH	Triston Casas	Triston Casas (671213)
DH	Riley Greene	Riley Greene (682985)
BAT BENCH	Aaron Judge	Aaron Judge (592450)
BAT BENCH	Oneil Cruz	Oneil Cruz (665833)
BAT BENCH	Oscar Colas	Oscar Colas (693049)
BAT BENCH	Emmanuel Rivera	Emmanuel Rivera (656896)
BAT BENCH	Casey Schmitt	Casey Schmitt (669477)
BAT BENCH	Jorge Mateo	Jorge Mateo (622761)
SP	Andrew Abbott	Andrew Abbott (671096)
SP	Dean Kremer	Dean Kremer (665152)
SP	Kodai Senga	Kodai Senga (673540)
SP	Michael Lorenzen	Michael Lorenzen (547179)
SP	Sandy Alcantara	Sandy Alcantara (645261)
SP	Shane Bieber	Shane Bieber (669456)
RP	Jordan Romano	Jordan Romano (605447)
RP	Kenley Jansen	Kenley Jansen (445276)
OP	Ben Lively	Ben Lively (594902)
OP	Jordan Hicks	Jordan Hicks (663855)
OP	Kutter Crawford	Kutter Crawford (676710)
OP	Kyle Bradish	Kyle Bradish (680694)
OP	Kenta Maeda	Kenta Maeda (628317)
PITCH BENCH	Garrett Whitlock	Garrett Whitlock (676477)
