position	players	withId	withTeam
C	Logan O'Hoppe	Logan O'Hoppe (681351)	Logan O'Hoppe (Los Angeles Angels)
1B	Matt Olson	Matt Olson (621566)	Matt Olson (Atlanta Braves)
2B	Andrés Giménez	Andrés Giménez (665926)	Andrés Giménez (Toronto Blue Jays)
3B	Mark Vientos	Mark Vientos (668901)	Mark Vientos (New York Mets)
SS	Elly De La Cruz	Elly De La Cruz (682829)	Elly De La Cruz (Cincinnati Reds)
MI	Dansby Swanson	Dansby Swanson (621020)	Dansby Swanson (Chicago Cubs)
CI	Christian Walker	Christian Walker (572233)	Christian Walker (Houston Astros)
OF	Anthony Santander	Anthony Santander (623993)	Anthony Santander (Toronto Blue Jays)
OF	Jasson Domínguez	Jasson Domínguez (691176)	Jasson Domínguez (New York Yankees)
OF	Michael Harris II	Michael Harris II (671739)	Michael Harris II (Atlanta Braves)
OF	Wilyer Abreu	Wilyer Abreu (677800)	Wilyer Abreu (Boston Red Sox)
DH	Ben Rice	Ben Rice (700250)	Ben Rice (New York Yankees)
DH	Ryan Mountcastle	Ryan Mountcastle (663624)	Ryan Mountcastle (Baltimore Orioles)
DH	Tommy Edman	Tommy Edman (669242)	Tommy Edman (Los Angeles Dodgers)
DH	Mike Yastrzemski	Mike Yastrzemski (573262)	Mike Yastrzemski (San Francisco Giants)
BAT BENCH	Zack Gelof	Zack Gelof (680869)	Zack Gelof (Athletics)
BAT BENCH	Austin Hays	Austin Hays (669720)	Austin Hays (Cincinnati Reds)
BAT BENCH	Max Muncy	Max Muncy (571970)	Max Muncy (Los Angeles Dodgers)
BAT BENCH	Josh Lowe	Josh Lowe (666139)	Josh Lowe (Tampa Bay Rays)
SP	Chris Sale	Chris Sale (519242)	Chris Sale (Atlanta Braves)
SP	Jacob deGrom	Jacob deGrom (594798)	Jacob deGrom (Texas Rangers)
SP	Joe Ryan	Joe Ryan (657746)	Joe Ryan (Minnesota Twins)
SP	Kevin Gausman	Kevin Gausman (592332)	Kevin Gausman (Toronto Blue Jays)
SP	Nick Pivetta	Nick Pivetta (601713)	Nick Pivetta (San Diego Padres)
SP	Tyler Glasnow	Tyler Glasnow (607192)	Tyler Glasnow (Los Angeles Dodgers)
RP	Félix Bautista	Félix Bautista (642585)	Félix Bautista (Baltimore Orioles)
RP	Ryan Pressly	Ryan Pressly (519151)	Ryan Pressly (Chicago Cubs)
OP	Porter Hodge	Porter Hodge (687863)	Porter Hodge (Chicago Cubs)
OP	Nick Lodolo	Nick Lodolo (666157)	Nick Lodolo (Cincinnati Reds)
OP	Grant Holmes	Grant Holmes (656550)	Grant Holmes (Atlanta Braves)
OP	Blake Treinen	Blake Treinen (595014)	Blake Treinen (Los Angeles Dodgers)
OP	Ben Brown	Ben Brown (676962)	Ben Brown (Chicago Cubs)
PITCH BENCH	Griffin Canning	Griffin Canning (656288)	Griffin Canning (New York Mets)
PITCH BENCH	Kumar Rocker	Kumar Rocker (677958)	Kumar Rocker (Texas Rangers)
PITCH BENCH	Lucas Erceg	Lucas Erceg (668674)	Lucas Erceg (Kansas City Royals)
