position	players	withId
C	Omar Narvaez	Omar Narvaez (553882)
1B	Rhys Hoskins	Rhys Hoskins (656555)
2B	Jed Lowrie	Jed Lowrie (476704)
3B	Eduardo Escobar	Eduardo Escobar (500871)
SS	Gleyber Torres	Gleyber Torres (650402)
MI	Paul DeJong	Paul DeJong (657557)
CI	Nate Lowe	Nate Lowe (663993)
OF	Aaron Judge	Aaron Judge (592450)
OF	Whit Merrifield	Whit Merrifield (593160)
OF	Yordan Alvarez	Yordan Alvarez (670541)
OF	Mitch Haniger	Mitch Haniger (571745)
DH	Ian Happ	Ian Happ (664023)
DH	Tommy Pham	Tommy Pham (502054)
DH	Colin Moran	Colin Moran (592567)
DH	Yuli Gurriel	Yuli Gurriel (493329)
BAT BENCH	Garrett Hampson	Garrett Hampson (641658)
BAT BENCH	Victor Robles	Victor Robles (645302)
BAT BENCH	Cody Bellinger	Cody Bellinger (641355)
SP	Brandon Woodruff	Brandon Woodruff (605540)
SP	Joe Musgrove	Joe Musgrove (605397)
SP	Kenta Maeda	Kenta Maeda (628317)
SP	Kevin Gausman	Kevin Gausman (592332)
SP	Shane Bieber	Shane Bieber (669456)
SP	Carlos Rodon	Carlos Rodon (607074)
RP	Kenley Jansen	Kenley Jansen (445276)
RP	Will Smith	Will Smith (519293)
OP	Ryne Stanek	Ryne Stanek (592773)
OP	Garrett Whitlock	Garrett Whitlock (676477)
OP	Richard Rodriguez	Richard Rodriguez (593144)
OP	Alex Cobb	Alex Cobb (502171)
OP	Jonathan Loaisiga	Jonathan Loaisiga (642528)
PITCH BENCH	Emilio Pagan	Emilio Pagan (641941)
