position	players	withId
C	Sean Murphy	Sean Murphy (669221)
1B	Pete Alonso	Pete Alonso (624413)
2B	Tommy Edman	Tommy Edman (669242)
3B	Alex Bregman	Alex Bregman (608324)
SS	Trea Turner	Trea Turner (607208)
MI	Anthony Volpe	Anthony Volpe (683011)
CI	Josh Jung	Josh Jung (673962)
OF	Bryan Reynolds	Bryan Reynolds (668804)
OF	Christian Yelich	Christian Yelich (592885)
OF	Julio Rodriguez	Julio Rodriguez (677594)
OF	Taylor Ward	Taylor Ward (621493)
DH	Brandon Nimmo	Brandon Nimmo (607043)
DH	J.D. Martinez	J.D. Martinez (502110)
DH	Nathaniel Lowe	Nathaniel Lowe (663993)
DH	Brendan Donovan	Brendan Donovan (680977)
BAT BENCH	Edouard Julien	Edouard Julien (666397)
SP	Marcus Stroman	Marcus Stroman (573186)
SP	Max Fried	Max Fried (608331)
SP	Sean Manaea	Sean Manaea (640455)
SP	Shane McClanahan	Shane McClanahan (663556)
SP	Wade Miley	Wade Miley (489119)
SP	Bryce Elder	Bryce Elder (693821)
RP	Devin Williams	Devin Williams (642207)
RP	Ryan Helsley	Ryan Helsley (664854)
OP	Eric Lauer	Eric Lauer (641778)
OP	Jhoan Duran	Jhoan Duran (661395)
OP	Justin Steele	Justin Steele (657006)
OP	Giovanny Gallegos	Giovanny Gallegos (606149)
OP	Andrew Chafin	Andrew Chafin (605177)
PITCH BENCH	Max Scherzer	Max Scherzer (453286)
PITCH BENCH	Aaron Civale	Aaron Civale (650644)
PITCH BENCH	Corey Kluber	Corey Kluber (446372)
