position	players	withId
C	Christian Vazquez	Christian Vazquez (543877)
1B	Carlos Santana	Carlos Santana (467793)
2B	Max Muncy	Max Muncy (571970)
3B	Alex Bregman	Alex Bregman (608324)
SS	Dansby Swanson	Dansby Swanson (621020)
MI	Joey Wendle	Joey Wendle (621563)
CI	Aledmys Diaz	Aledmys Diaz (649557)
OF	Brian Goodwin	Brian Goodwin (571718)
OF	Christian Yelich	Christian Yelich (592885)
OF	Wil Myers	Wil Myers (571976)
OF	Jesse Winker	Jesse Winker (608385)
DH	Adam Engel	Adam Engel (641553)
DH	Max Kepler	Max Kepler (596146)
DH	Rafael Ortega	Rafael Ortega (542364)
DH	Yadiel Hernandez	Yadiel Hernandez (628450)
BAT BENCH	Alex Kirilloff	Alex Kirilloff (666135)
BAT BENCH	Cavan Biggio	Cavan Biggio (624415)
BAT BENCH	Andrew McCutchen	Andrew McCutchen (457705)
SP	Johnny Cueto	Johnny Cueto (456501)
SP	Jose Berrios	Jose Berrios (621244)
SP	Patrick Corbin	Patrick Corbin (571578)
SP	Yusei Kikuchi	Yusei Kikuchi (579328)
SP	Zack Greinke	Zack Greinke (425844)
SP	Freddy Peralta	Freddy Peralta (642547)
RP	James Karinchak	James Karinchak (675916)
RP	Devin Williams	Devin Williams (642207)
OP	Eduardo Rodriguez	Eduardo Rodriguez (593958)
OP	Giovanny Gallegos	Giovanny Gallegos (606149)
OP	Madison Bumgarner	Madison Bumgarner (518516)
OP	Craig Kimbrel	Craig Kimbrel (518886)
OP	Alex Colome	Alex Colome (517008)
PITCH BENCH	Trevor Bauer	Trevor Bauer (545333)
